fecha,R,G,B,Intensidad,R_norm,G_norm,B_norm,RG_ratio,RB_ratio,BG_ratio,Etiqueta
2025-10-20 14:56:05,1579.5970323503936,2045.3035548836983,12789.46180820247,16414.36239543656,0.096,0.125,0.779,0.772,0.124,6.253,0
2025-10-20 14:56:06,21664.793388429753,1135.7136281172998,3493.3610960729607,26293.868112620014,0.824,0.043,0.133,19.076,6.202,3.076,0
2025-10-20 14:56:07,127100.12121212122,23477.772180240696,1290.5749319220295,151868.46832428392,0.837,0.155,0.008,5.414,98.483,0.055,0
2025-10-20 14:56:08,2262.360905094528,105384.52261306533,26630.501587301587,134277.38510546144,0.017,0.785,0.198,0.021,0.085,0.253,0
2025-10-20 14:56:09,1469.880497634484,1456.3555555555556,12228.291545189504,15154.527598379544,0.097,0.096,0.807,1.009,0.12,8.397,0
2025-10-20 14:56:10,16441.803214425716,1137.9166836229465,1263.6681077986834,18843.388005847344,0.873,0.06,0.067,14.449,13.011,1.111,0
2025-10-20 14:56:11,1874.3817312419,3727.4419017996,3971.3146806798277,9573.138313721327,0.196,0.389,0.415,0.503,0.472,1.065,0
2025-10-20 14:56:12,5372.147294268331,3525.6621695456647,3470.669424906909,12368.478888720905,0.434,0.285,0.281,1.524,1.548,0.984,0
2025-10-20 14:56:13,3624.6847858963833,2434.1616853345713,2446.014870972445,8504.8613422034,0.426,0.286,0.288,1.489,1.482,1.005,0
2025-10-20 14:56:14,4212.840498192045,2502.344062285595,2301.843426721181,9017.02798719882,0.467,0.278,0.255,1.684,1.83,0.92,0
2025-10-20 14:56:15,3941.4593807264014,2520.236743277753,2446.371536891222,8908.067660895376,0.442,0.283,0.275,1.564,1.611,0.971,0
2025-10-20 14:56:16,2563.9905859339183,2206.8315268862466,1624.9749142823935,6395.797027102559,0.401,0.345,0.254,1.162,1.578,0.736,0
2025-10-20 14:56:17,3310.0295939707216,2149.9879539687827,2360.1294207016854,7820.146968641189,0.423,0.275,0.302,1.54,1.402,1.098,0
2025-10-20 14:56:18,3619.211321080335,2590.2757449436467,2905.3468638520417,9114.833929876022,0.397,0.284,0.319,1.397,1.246,1.122,0
2025-10-20 14:56:18,2872.614204506541,1689.2422320223927,1636.8334991902282,6198.689935719161,0.463,0.273,0.264,1.701,1.755,0.969,0
2025-10-20 14:56:19,1628.0024065053274,1173.6586730839185,1317.2444765479013,4118.905556137147,0.395,0.285,0.32,1.387,1.236,1.122,0
2025-10-20 14:56:20,1786.3304940374787,1253.977517340349,1379.410323450578,4419.718334828406,0.404,0.284,0.312,1.425,1.295,1.1,0
